prefix,ip_version,asn,asn_name
163.53.193.0/24,ipv4,AS58381,Wow Internet Indonesia
103.20.91.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:900::/40,ipv6,AS58381,Wow Internet Indonesia
2401:4160:1000::/48,ipv6,AS58381,Wow Internet Indonesia
198.167.141.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:88::/48,ipv6,AS58381,Wow Internet Indonesia
199.180.128.0/24,ipv4,AS58381,Wow Internet Indonesia
199.180.133.0/24,ipv4,AS58381,Wow Internet Indonesia
160.22.70.0/23,ipv4,AS58381,Wow Internet Indonesia
103.20.90.0/24,ipv4,AS58381,Wow Internet Indonesia
199.180.129.0/24,ipv4,AS58381,Wow Internet Indonesia
198.167.140.0/23,ipv4,AS58381,Wow Internet Indonesia
2401:4160:200::/48,ipv6,AS58381,Wow Internet Indonesia
2401:4160:100::/48,ipv6,AS58381,Wow Internet Indonesia
199.180.131.0/24,ipv4,AS58381,Wow Internet Indonesia
202.43.248.0/24,ipv4,AS58381,Wow Internet Indonesia
199.180.130.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160::/32,ipv6,AS58381,Wow Internet Indonesia
216.244.94.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:1100::/48,ipv6,AS58381,Wow Internet Indonesia
163.53.195.0/24,ipv4,AS58381,Wow Internet Indonesia
103.5.50.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:800::/40,ipv6,AS58381,Wow Internet Indonesia
199.180.130.0/23,ipv4,AS58381,Wow Internet Indonesia
163.53.192.0/22,ipv4,AS58381,Wow Internet Indonesia
163.53.192.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:dc::/48,ipv6,AS58381,Wow Internet Indonesia
160.22.70.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:400::/40,ipv6,AS58381,Wow Internet Indonesia
199.180.128.0/23,ipv4,AS58381,Wow Internet Indonesia
103.5.50.0/23,ipv4,AS58381,Wow Internet Indonesia
103.20.90.0/23,ipv4,AS58381,Wow Internet Indonesia
103.5.51.0/24,ipv4,AS58381,Wow Internet Indonesia
163.53.194.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:10b::/48,ipv6,AS58381,Wow Internet Indonesia
202.43.249.0/24,ipv4,AS58381,Wow Internet Indonesia
202.43.248.0/23,ipv4,AS58381,Wow Internet Indonesia
199.180.132.0/24,ipv4,AS58381,Wow Internet Indonesia
198.167.140.0/24,ipv4,AS58381,Wow Internet Indonesia
2401:4160:100::/40,ipv6,AS58381,Wow Internet Indonesia
160.22.71.0/24,ipv4,AS58381,Wow Internet Indonesia
