prefix,ip_version,asn,asn_name
103.143.222.0/24,ipv4,AS58389,PT Sumber Data Indonesia
103.11.31.0/24,ipv4,AS58389,PT Sumber Data Indonesia
43.240.228.0/24,ipv4,AS58389,PT Sumber Data Indonesia
116.68.165.0/24,ipv4,AS58389,PT Sumber Data Indonesia
2404:fd00:34::/48,ipv6,AS58389,PT Sumber Data Indonesia
103.227.248.0/24,ipv4,AS58389,PT Sumber Data Indonesia
116.68.167.0/24,ipv4,AS58389,PT Sumber Data Indonesia
114.198.247.0/24,ipv4,AS58389,PT Sumber Data Indonesia
2404:fd00:10::/48,ipv6,AS58389,PT Sumber Data Indonesia
103.11.28.0/24,ipv4,AS58389,PT Sumber Data Indonesia
202.47.182.0/24,ipv4,AS58389,PT Sumber Data Indonesia
2404:fd00:36::/48,ipv6,AS58389,PT Sumber Data Indonesia
103.226.119.0/24,ipv4,AS58389,PT Sumber Data Indonesia
114.198.243.0/24,ipv4,AS58389,PT Sumber Data Indonesia
114.198.241.0/24,ipv4,AS58389,PT Sumber Data Indonesia
202.72.207.0/24,ipv4,AS58389,PT Sumber Data Indonesia
43.240.230.0/24,ipv4,AS58389,PT Sumber Data Indonesia
116.68.164.0/24,ipv4,AS58389,PT Sumber Data Indonesia
116.68.169.0/24,ipv4,AS58389,PT Sumber Data Indonesia
