prefix,ip_version,asn,asn_name
117.53.149.0/24,ipv4,AS58397,PT Infinys System Indonesia
43.245.180.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.148.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.204.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.192.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.23.21.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.23.22.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.145.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.44.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.47.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.43.45.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.190.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.43.44.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.46.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.144.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.193.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.205.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.207.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.195.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.147.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.188.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.43.46.0/24,ipv4,AS58397,PT Infinys System Indonesia
2001:df0:f800::/48,ipv6,AS58397,PT Infinys System Indonesia
43.245.182.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.43.47.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.151.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.146.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.23.23.0/24,ipv4,AS58397,PT Infinys System Indonesia
43.245.181.0/24,ipv4,AS58397,PT Infinys System Indonesia
43.224.19.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.189.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.150.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.23.20.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.191.0/24,ipv4,AS58397,PT Infinys System Indonesia
43.224.18.0/24,ipv4,AS58397,PT Infinys System Indonesia
117.53.45.0/24,ipv4,AS58397,PT Infinys System Indonesia
43.245.183.0/24,ipv4,AS58397,PT Infinys System Indonesia
43.224.16.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.194.0/24,ipv4,AS58397,PT Infinys System Indonesia
103.41.206.0/24,ipv4,AS58397,PT Infinys System Indonesia
