prefix,ip_version,asn,asn_name
2402:e100:2100::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2086::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2065::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2044::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f62::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2083::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2091::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2064::/48,ipv6,AS58485,WIFIAN ID
2402:e100:1207::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2014::/48,ipv6,AS58485,WIFIAN ID
2402:e100:a83::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2036::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2089::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2099::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2071::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2048::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2060::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f311::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2084::/48,ipv6,AS58485,WIFIAN ID
103.247.23.0/24,ipv4,AS58485,WIFIAN ID
2402:e100:2037::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2006::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2010::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f83::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2088::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2016::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2018::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2007::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2030::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2012::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2041::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2120::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2085::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2024::/48,ipv6,AS58485,WIFIAN ID
2402:e100:b83::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f61::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2005::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2078::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2032::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2113::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2031::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2009::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f64::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f400::/48,ipv6,AS58485,WIFIAN ID
2402:e100:ada::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2002::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f75::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2013::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2015::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2001::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2079::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2444::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2042::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2062::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2039::/48,ipv6,AS58485,WIFIAN ID
2402:e100:ae::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f609::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f651::/48,ipv6,AS58485,WIFIAN ID
2402:e100:1217::/48,ipv6,AS58485,WIFIAN ID
2402:e100:c500::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2093::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2107::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2095::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2105::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2053::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f236::/48,ipv6,AS58485,WIFIAN ID
2402:e100:c781::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f520::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2119::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2057::/48,ipv6,AS58485,WIFIAN ID
2402:e100:f350::/48,ipv6,AS58485,WIFIAN ID
2402:e100:1215::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2072::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2117::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2049::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2116::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2109::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2097::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2061::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2008::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2038::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2027::/48,ipv6,AS58485,WIFIAN ID
2402:e100:c600::/48,ipv6,AS58485,WIFIAN ID
2402:e100:2047::/48,ipv6,AS58485,WIFIAN ID
