prefix,ip_version,asn,asn_name
103.196.43.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.196.46.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.237.35.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.237.32.0/23,ipv4,AS58558,PT Jagat Media Teknologi
103.237.32.0/22,ipv4,AS58558,PT Jagat Media Teknologi
103.237.34.0/23,ipv4,AS58558,PT Jagat Media Teknologi
43.230.5.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.237.32.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.237.33.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.237.34.0/24,ipv4,AS58558,PT Jagat Media Teknologi
103.196.47.0/24,ipv4,AS58558,PT Jagat Media Teknologi
