prefix,ip_version,asn,asn_name
2407:bf00::/32,ipv6,AS58819,PT Arsenet Global Solusi
103.240.110.0/23,ipv4,AS58819,PT Arsenet Global Solusi
103.160.149.0/24,ipv4,AS58819,PT Arsenet Global Solusi
103.160.148.0/23,ipv4,AS58819,PT Arsenet Global Solusi
103.160.148.0/24,ipv4,AS58819,PT Arsenet Global Solusi
103.240.108.0/24,ipv4,AS58819,PT Arsenet Global Solusi
103.240.111.0/24,ipv4,AS58819,PT Arsenet Global Solusi
103.240.108.0/22,ipv4,AS58819,PT Arsenet Global Solusi
103.240.110.0/24,ipv4,AS58819,PT Arsenet Global Solusi
103.240.109.0/24,ipv4,AS58819,PT Arsenet Global Solusi
103.240.108.0/23,ipv4,AS58819,PT Arsenet Global Solusi
