prefix,ip_version,asn,asn_name
103.136.18.0/24,ipv4,AS58820,APIK Media Networks
103.97.111.0/24,ipv4,AS58820,APIK Media Networks
103.169.210.0/24,ipv4,AS58820,APIK Media Networks
103.136.16.0/24,ipv4,AS58820,APIK Media Networks
103.136.16.0/23,ipv4,AS58820,APIK Media Networks
103.136.19.0/24,ipv4,AS58820,APIK Media Networks
103.113.28.0/24,ipv4,AS58820,APIK Media Networks
2407:6d40::/32,ipv6,AS58820,APIK Media Networks
103.136.18.0/23,ipv4,AS58820,APIK Media Networks
2407:72c0::/32,ipv6,AS58820,APIK Media Networks
103.241.24.0/24,ipv4,AS58820,APIK Media Networks
2407:6f40::/32,ipv6,AS58820,APIK Media Networks
103.136.17.0/24,ipv4,AS58820,APIK Media Networks
2405:a740::/32,ipv6,AS58820,APIK Media Networks
2407:7240::/32,ipv6,AS58820,APIK Media Networks
2001:df1:9000::/48,ipv6,AS58820,APIK Media Networks
103.169.211.0/24,ipv4,AS58820,APIK Media Networks
