prefix,ip_version,asn,asn_name
103.26.177.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.106.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.104.0/22,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.156.249.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.105.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.26.176.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.155.198.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.104.0/23,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.193.145.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
165.101.43.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.155.199.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.104.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
193.5.11.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.156.248.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.156.14.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.172.34.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.193.144.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
165.101.42.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
2001:df5:9f80::/48,ipv6,AS58821,PT Lintas Jaringan Nusantara
103.172.35.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
157.10.97.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.106.0/23,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.188.169.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.156.15.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
103.242.107.0/24,ipv4,AS58821,PT Lintas Jaringan Nusantara
