prefix,ip_version,asn,asn_name
38.47.78.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.87.0/24,ipv4,AS59134,PT. Datacomm Diangraha
103.179.30.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.70.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.66.0/23,ipv4,AS59134,PT. Datacomm Diangraha
103.73.125.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.82.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.90.0/23,ipv4,AS59134,PT. Datacomm Diangraha
103.252.50.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.64.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.74.0/23,ipv4,AS59134,PT. Datacomm Diangraha
103.108.126.0/24,ipv4,AS59134,PT. Datacomm Diangraha
103.252.51.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.79.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.88.0/23,ipv4,AS59134,PT. Datacomm Diangraha
103.179.32.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.94.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.84.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.92.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.68.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.83.0/24,ipv4,AS59134,PT. Datacomm Diangraha
103.179.33.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.81.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.72.0/23,ipv4,AS59134,PT. Datacomm Diangraha
38.47.80.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.76.0/24,ipv4,AS59134,PT. Datacomm Diangraha
38.47.77.0/24,ipv4,AS59134,PT. Datacomm Diangraha
