prefix,ip_version,asn,asn_name
116.0.5.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.0.0/23,ipv4,AS59139,PT Wifiku Indonesia
103.253.1.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.7.0/24,ipv4,AS59139,PT Wifiku Indonesia
103.253.0.0/23,ipv4,AS59139,PT Wifiku Indonesia
116.0.4.0/23,ipv4,AS59139,PT Wifiku Indonesia
116.0.4.0/22,ipv4,AS59139,PT Wifiku Indonesia
103.253.0.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.6.0/23,ipv4,AS59139,PT Wifiku Indonesia
116.0.6.0/24,ipv4,AS59139,PT Wifiku Indonesia
103.253.2.0/23,ipv4,AS59139,PT Wifiku Indonesia
116.0.0.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.2.0/23,ipv4,AS59139,PT Wifiku Indonesia
116.0.4.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.0.0/22,ipv4,AS59139,PT Wifiku Indonesia
116.0.1.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.2.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.0.0/21,ipv4,AS59139,PT Wifiku Indonesia
103.253.2.0/24,ipv4,AS59139,PT Wifiku Indonesia
116.0.3.0/24,ipv4,AS59139,PT Wifiku Indonesia
103.253.3.0/24,ipv4,AS59139,PT Wifiku Indonesia
