prefix,ip_version,asn,asn_name
103.47.11.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.226.50.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.226.51.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.47.10.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.80.97.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.80.96.0/23,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.226.48.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.226.49.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.47.10.0/23,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.226.48.0/22,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
103.80.96.0/24,ipv4,AS59273,PT KOMUNIKASI LINTAS NUSA
