prefix,ip_version,asn,asn_name
103.58.160.0/22,ipv4,AS59278,PT Jaringan VNT Indonesia
103.227.240.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.227.241.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.58.161.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.58.160.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.227.242.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.58.162.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.58.163.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.227.243.0/24,ipv4,AS59278,PT Jaringan VNT Indonesia
103.227.240.0/22,ipv4,AS59278,PT Jaringan VNT Indonesia
2402:6980::/32,ipv6,AS59278,PT Jaringan VNT Indonesia
2402:6980:1000::/48,ipv6,AS59278,PT Jaringan VNT Indonesia
