prefix,ip_version,asn,asn_name
103.228.118.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.160.0/23,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.10.58.0/23,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.228.116.0/22,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.228.117.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.160.0/22,ipv4,AS59281,PT Sumber Koneksi Indonesia
101.255.171.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
115.124.70.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
101.255.170.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.228.116.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.228.116.0/23,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.160.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
157.66.29.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
115.124.71.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.163.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.162.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.228.118.0/23,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.10.58.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.162.0/23,ipv4,AS59281,PT Sumber Koneksi Indonesia
202.182.49.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.228.119.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
137.59.161.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
103.10.59.0/24,ipv4,AS59281,PT Sumber Koneksi Indonesia
