prefix,ip_version,asn,asn_name
103.254.104.0/24,ipv4,AS59282,PT Giga Patra Multimedia
116.206.213.0/24,ipv4,AS59282,PT Giga Patra Multimedia
103.254.104.0/23,ipv4,AS59282,PT Giga Patra Multimedia
103.254.106.0/23,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:f0::/44,ipv6,AS59282,PT Giga Patra Multimedia
103.254.104.0/22,ipv4,AS59282,PT Giga Patra Multimedia
103.254.107.0/24,ipv4,AS59282,PT Giga Patra Multimedia
202.74.76.0/24,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:6::/48,ipv6,AS59282,PT Giga Patra Multimedia
116.206.212.0/23,ipv4,AS59282,PT Giga Patra Multimedia
202.74.76.0/23,ipv4,AS59282,PT Giga Patra Multimedia
202.74.78.0/24,ipv4,AS59282,PT Giga Patra Multimedia
103.228.244.0/22,ipv4,AS59282,PT Giga Patra Multimedia
103.254.106.0/24,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:59::/48,ipv6,AS59282,PT Giga Patra Multimedia
103.228.245.0/24,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:ff::/48,ipv6,AS59282,PT Giga Patra Multimedia
202.74.76.0/22,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:2::/48,ipv6,AS59282,PT Giga Patra Multimedia
202.74.78.0/23,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:f1::/48,ipv6,AS59282,PT Giga Patra Multimedia
103.228.246.0/24,ipv4,AS59282,PT Giga Patra Multimedia
202.74.79.0/24,ipv4,AS59282,PT Giga Patra Multimedia
103.228.246.0/23,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:fb::/48,ipv6,AS59282,PT Giga Patra Multimedia
2400:d680:fc::/48,ipv6,AS59282,PT Giga Patra Multimedia
202.74.77.0/24,ipv4,AS59282,PT Giga Patra Multimedia
103.254.105.0/24,ipv4,AS59282,PT Giga Patra Multimedia
103.228.244.0/24,ipv4,AS59282,PT Giga Patra Multimedia
103.228.244.0/23,ipv4,AS59282,PT Giga Patra Multimedia
116.206.212.0/22,ipv4,AS59282,PT Giga Patra Multimedia
116.206.214.0/23,ipv4,AS59282,PT Giga Patra Multimedia
2400:d680:face::/48,ipv6,AS59282,PT Giga Patra Multimedia
103.228.247.0/24,ipv4,AS59282,PT Giga Patra Multimedia
116.206.215.0/24,ipv4,AS59282,PT Giga Patra Multimedia
116.206.214.0/24,ipv4,AS59282,PT Giga Patra Multimedia
116.206.212.0/24,ipv4,AS59282,PT Giga Patra Multimedia
