prefix,ip_version,asn,asn_name
103.39.15.0/24,ipv4,AS63827,PT Econdelight
43.243.184.0/24,ipv4,AS63827,PT Econdelight
103.39.14.0/23,ipv4,AS63827,PT Econdelight
103.39.12.0/23,ipv4,AS63827,PT Econdelight
43.243.185.0/24,ipv4,AS63827,PT Econdelight
103.39.13.0/24,ipv4,AS63827,PT Econdelight
103.39.12.0/24,ipv4,AS63827,PT Econdelight
43.243.186.0/23,ipv4,AS63827,PT Econdelight
103.39.12.0/22,ipv4,AS63827,PT Econdelight
43.243.186.0/24,ipv4,AS63827,PT Econdelight
43.243.184.0/23,ipv4,AS63827,PT Econdelight
43.243.184.0/22,ipv4,AS63827,PT Econdelight
103.39.14.0/24,ipv4,AS63827,PT Econdelight
43.243.187.0/24,ipv4,AS63827,PT Econdelight
