prefix,ip_version,asn,asn_name
103.53.1.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
45.115.137.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
103.53.2.0/23,ipv4,AS63873,PT Mitra Akses Globalindo
103.53.0.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
103.53.2.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
103.53.3.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
45.115.139.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
45.115.138.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
45.115.136.0/24,ipv4,AS63873,PT Mitra Akses Globalindo
45.115.136.0/23,ipv4,AS63873,PT Mitra Akses Globalindo
103.53.0.0/23,ipv4,AS63873,PT Mitra Akses Globalindo
