prefix,ip_version,asn,asn_name
103.187.114.0/24,ipv4,AS63878,PT Victory Network Indonesia
103.236.188.0/24,ipv4,AS63878,PT Victory Network Indonesia
103.94.249.0/24,ipv4,AS63878,PT Victory Network Indonesia
2400:46e0::/32,ipv6,AS63878,PT Victory Network Indonesia
103.94.248.0/23,ipv4,AS63878,PT Victory Network Indonesia
103.236.190.0/24,ipv4,AS63878,PT Victory Network Indonesia
103.236.191.0/24,ipv4,AS63878,PT Victory Network Indonesia
103.236.189.0/24,ipv4,AS63878,PT Victory Network Indonesia
103.236.188.0/22,ipv4,AS63878,PT Victory Network Indonesia
103.94.248.0/24,ipv4,AS63878,PT Victory Network Indonesia
