prefix,ip_version,asn,asn_name
202.43.228.0/23,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:116::/48,ipv6,AS9422,PT SOLNET INDONESIA
43.225.185.0/24,ipv4,AS9422,PT SOLNET INDONESIA
103.248.217.0/24,ipv4,AS9422,PT SOLNET INDONESIA
103.70.134.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:10e::/48,ipv6,AS9422,PT SOLNET INDONESIA
103.246.3.0/24,ipv4,AS9422,PT SOLNET INDONESIA
202.43.228.0/24,ipv4,AS9422,PT SOLNET INDONESIA
103.206.252.0/23,ipv4,AS9422,PT SOLNET INDONESIA
103.246.0.0/23,ipv4,AS9422,PT SOLNET INDONESIA
106.0.50.0/24,ipv4,AS9422,PT SOLNET INDONESIA
103.70.132.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:113::/48,ipv6,AS9422,PT SOLNET INDONESIA
103.246.1.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:114::/48,ipv6,AS9422,PT SOLNET INDONESIA
202.43.229.0/24,ipv4,AS9422,PT SOLNET INDONESIA
202.154.189.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:115::/48,ipv6,AS9422,PT SOLNET INDONESIA
43.225.187.0/24,ipv4,AS9422,PT SOLNET INDONESIA
103.70.133.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:108::/48,ipv6,AS9422,PT SOLNET INDONESIA
202.154.188.0/24,ipv4,AS9422,PT SOLNET INDONESIA
106.0.51.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:10a::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:111::/48,ipv6,AS9422,PT SOLNET INDONESIA
103.206.253.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:104::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:102::/48,ipv6,AS9422,PT SOLNET INDONESIA
202.154.187.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:109::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:112::/48,ipv6,AS9422,PT SOLNET INDONESIA
202.43.230.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:11d::/48,ipv6,AS9422,PT SOLNET INDONESIA
43.255.57.0/24,ipv4,AS9422,PT SOLNET INDONESIA
202.154.190.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:105::/48,ipv6,AS9422,PT SOLNET INDONESIA
106.0.50.0/23,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:10c::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:10f::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:100::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:9422::/48,ipv6,AS9422,PT SOLNET INDONESIA
202.154.185.0/24,ipv4,AS9422,PT SOLNET INDONESIA
43.225.186.0/23,ipv4,AS9422,PT SOLNET INDONESIA
202.43.231.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:106::/48,ipv6,AS9422,PT SOLNET INDONESIA
103.206.252.0/24,ipv4,AS9422,PT SOLNET INDONESIA
103.248.218.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:103::/48,ipv6,AS9422,PT SOLNET INDONESIA
103.70.135.0/24,ipv4,AS9422,PT SOLNET INDONESIA
202.154.191.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:11c::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:107::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:10b::/48,ipv6,AS9422,PT SOLNET INDONESIA
202.154.184.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:11f::/48,ipv6,AS9422,PT SOLNET INDONESIA
2407:7c0:117::/48,ipv6,AS9422,PT SOLNET INDONESIA
106.0.49.0/24,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:110::/48,ipv6,AS9422,PT SOLNET INDONESIA
43.225.184.0/23,ipv4,AS9422,PT SOLNET INDONESIA
202.154.188.0/22,ipv4,AS9422,PT SOLNET INDONESIA
2407:7c0:11a::/48,ipv6,AS9422,PT SOLNET INDONESIA
