prefix,ip_version,asn,asn_name
36.70.96.0/20,ipv4,AS7713,PT Telekomunikasi Indonesia
180.248.202.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
118.96.56.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
110.139.200.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
180.253.232.0/21,ipv4,AS7713,PT Telekomunikasi Indonesia
222.124.17.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
2001:448a:510a::/48,ipv6,AS7713,PT Telekomunikasi Indonesia
2001:448a:4032::/48,ipv6,AS7713,PT Telekomunikasi Indonesia
110.137.184.0/21,ipv4,AS7713,PT Telekomunikasi Indonesia
125.161.0.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
36.93.90.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
2001:448a:5030::/48,ipv6,AS7713,PT Telekomunikasi Indonesia
222.124.132.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
2001:448a:6060::/44,ipv6,AS7713,PT Telekomunikasi Indonesia
36.67.12.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
110.138.136.0/21,ipv4,AS7713,PT Telekomunikasi Indonesia
36.87.0.0/16,ipv4,AS7713,PT Telekomunikasi Indonesia
110.136.150.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
36.89.86.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
110.139.51.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
222.124.247.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
125.162.70.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
125.160.64.0/20,ipv4,AS7713,PT Telekomunikasi Indonesia
125.160.36.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
180.243.172.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
180.244.100.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
125.167.196.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
36.66.161.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
36.71.146.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
118.96.160.0/21,ipv4,AS7713,PT Telekomunikasi Indonesia
36.77.112.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
36.81.192.0/21,ipv4,AS7713,PT Telekomunikasi Indonesia
125.164.233.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
36.90.200.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
36.91.206.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
118.96.68.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
36.69.244.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
36.83.252.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
36.90.124.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
36.86.58.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
180.250.0.0/16,ipv4,AS7713,PT Telekomunikasi Indonesia
180.249.0.0/21,ipv4,AS7713,PT Telekomunikasi Indonesia
110.136.176.0/22,ipv4,AS7713,PT Telekomunikasi Indonesia
118.97.136.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
118.97.128.0/24,ipv4,AS7713,PT Telekomunikasi Indonesia
125.167.190.0/23,ipv4,AS7713,PT Telekomunikasi Indonesia
